Nome,Genere,Diffusione
BARTOLINO,M,4
BARTOLO,M,3
BARTOLOMEO,M,2
BARTOSZ,M,4
BASILE,M,3
BASILEO,M,3
BASILICO,M,3
BASILIO,M,3
BASSANO,M,4
BASSIANO,M,4
BASSO,M,4
BASTIANINO,M,4
BASTIANO,M,2
BATISTA,M,3
BATTISTA,M,2
BATTISTINO,M,2
BAUDOLINO,M,3
BEATO,M,4
BELARDINO,M,4
BELARDO,M,3
BELFIORE,M,4
BELISARIO,M,3
BELLINO,M,4
BELLISARIO,M,4
BELLO,M,4
BELTRAME,M,4
BELTRANDO,M,4
BENE,M,4
BENEDETTO,M,2
BENEDIKT,M,3
BENEDINO,M,3
BENETTO,M,4
BENGASINO,M,3
BENIAMINO,M,2
BENIGNO,M,3
BENILDO,M,3
BENINO,M,3
BENITO,M,2
BENNARDINO,M,4
BENNARDO,M,4
BENNO,M,4
BENO,M,4
BENOZZO,M,4
BENSO,M,4
BENTIVOGLIO,M,4
BENUCCIO,M,4
BENVENUTO,M,3
BEPI,M,3
BEPPE,M,2
BEPPI,M,3
BEPPINO,M,3
BERARDINO,M,3
BERARDO,M,3
BERENGARIO,M,3
BERNADETTO,M,3
BERNARDINO,M,3
BERNARDO,M,2
BERNIERO,M,3
BERNINO,M,4
BERTILLO,M,4
BERTINO,M,4
BERTO,M,3
BERTOLDO,M,3
BERTRANDO,M,3
BESSO,M,4
BETTINO,M,3
BETTO,M,3
BIAGINO,M,3
BIAGIO,M,2
BIANCARDO,M,4
BIANCHINO,M,4
BIANCO,M,3
BIASINO,M,4
BIASIO,M,4
BIBBIANO,M,4
BIBIANO,M,4
BIGIO,M,4
BINDO,M,4
BINO,M,4
BIONDINO,M,4
BIONDO,M,3
BISIO,M,3
BIXIO,M,4
BIZIO,M,4
BLANDINO,M,4
BLANDO,M,3
BOERIO,M,4
BONACATTU,M,4
BONACATU,M,4
BONACCORSO,M,3
BONAFEDE,M,4
BONALDO,M,4
BONANDO,M,4
BONANNO,M,4
BONARDO,M,4
BONARINO,M,4
BONARIO,M,4
BONFIGLIO,M,3
BONFILIO,M,4
BONIFACIO,M,3
BONIFAZIO,M,3
BONINO,M,4
BONITO,M,4
BONO,M,4
BONOMO,M,4
BONUCCIO,M,4
BORDINO,M,4
BORIS,M,3
BORTOLINO,M,4
BORTOLO,M,3
BORTOLOMEO,M,3
BOUCHAIB,M,4
BOVIO,M,4
BOVO,M,3
BRACCIO,M,3
BRAMO,M,4
BRANDINO,M,3
BRANDISIO,M,3
BRANDIZIO,M,4
BRANDO,M,3
BRASILE,M,4
BRASILINO,M,4
BRASILIO,M,4
BRENNO,M,3
BRENO,M,3
BRIGIDO,M,3
BRILLANTINO,M,4
BRIZIO,M,4
BRUNALDINO,M,4
BRUNALDO,M,3
BRUNELLESCO,M,4
BRUNELLO,M,3
BRUNERO,M,4
BRUNETTO,M,4
BRUNILDO,M,4
BRUNINO,M,3
BRUNO,M,1
BRUNONE,M,3
BRUNORO,M,3
BRUTO,M,3
BUJAR,M,4
BUONAFEDE,M,4
BUONAVENTURA,M,4
BUONFIGLIO,M,4
BUONO,M,4
BUOVO,M,4
CABIRIO,M,4
CADMO,M,4
CADORE,M,4
CADORINO,M,4
CADORNINO,M,4
CADORNO,M,4
CAFFIERO,M,4
CAFIERO,M,4
CAIO,M,3
CALCEDONIO,M,4
CALFIERO,M,4
CALIMERO,M,3
CALISTO,M,3
CALLIMACO,M,3
CALLISTO,M,3
CALOGERO,M,2
CALVINO,M,3
CALVIO,M,4
CALVO,M,4
CAMILLO,M,2
